statename,sales,profit
Kentucky,36591.74999999997,11199.696600000005
California,457687.631500001,76381.38710000017
Florida,89473.708,-3399.3017
North Carolina,55603.16399999997,-7490.912200000003
Washington,138641.26999999993,33402.651699999995
Texas,170188.04580000002,-25729.3563
Wisconsin,32114.61000000002,8401.800399999998
Utah,11220.055999999999,2546.5335000000005
Nebraska,7464.9299999999985,2037.0942000000007
Pennsylvania,116511.91400000003,-15559.960300000013
Illinois,80166.10099999986,-12607.88699999998
Minnesota,29863.149999999994,10823.1874
Michigan,76269.61400000002,24463.187599999994
Delaware,27451.068999999992,9977.374800000001
Indiana,53555.36,18382.936300000005
New York,310876.2709999998,74038.54860000005
Arizona,35282.001,-3427.9246
Virginia,70636.71999999999,18597.9504
Tennessee,30661.87299999998,-5341.6936
Alabama,19510.639999999992,5786.825299999999
South Carolina,8481.71,1769.0566000000003
Oregon,17431.14999999999,-1190.4704999999992
Colorado,32108.117999999995,-6527.857900000001
Iowa,4579.759999999999,1183.8119000000002
Ohio,78258.13599999993,-16971.376600000018
Missouri,22205.149999999998,6436.210499999999
Oklahoma,19683.39,4853.956
New Mexico,4783.521999999999,1157.1161
Louisiana,9217.029999999999,2196.102300000001
Connecticut,13384.356999999996,3511.4918000000002
New Jersey,35764.31200000001,9772.9138
Massachusetts,28634.433999999994,6785.501600000005
Georgia,49095.840000000004,16250.043300000003
Nevada,16729.102,3316.7659
Rhode Island,22627.955999999995,7285.629300000001
Mississippi,10771.34,3172.9761999999982
Arkansas,11678.129999999997,4008.6871
Montana,5589.351999999997,1833.3285
New Hampshire,7292.523999999999,1706.5028
Maryland,23705.523,7031.178799999997
District of Columbia,2865.0199999999995,1059.5892999999999
Kansas,2914.31,836.4435000000001
Vermont,8929.369999999999,2244.9783
Maine,1270.5300000000002,454.4862
South Dakota,1315.5600000000002,394.8283
Idaho,4382.486000000002,826.7230999999999
North Dakota,919.91,230.14969999999997
Wyoming,1603.136,100.196
West Virginia,1209.824,185.9216
