Sub-Category,Total Profit,Count,Mean Profit,Median Profit
Bookcases,-3472.5559999999978,228,-15.230508771929825,4.1333
Chairs,26590.166300000026,617,43.09589351701783,13.3176
Labels,5546.253999999998,364,15.236961538461538,6.8714
Tables,-17725.481100000008,319,-55.56577147335423,-31.3722
Storage,21278.826399999998,846,25.152277068557922,7.757
Furnishings,13059.143599999983,957,13.645918077324973,9.102
Art,6527.786999999998,796,8.20073743718593,3.7236
Phones,44515.7306,889,50.073937682789655,23.5248
Binders,30221.763299999995,1523,19.843574064346683,3.9771
Appliances,18138.005399999995,466,38.922758369098716,17.4465
Paper,34053.56929999997,1370,24.8566199270073,11.5432
Accessories,41936.63569999993,775,54.111788,21.0
Envelopes,6964.176700000003,254,27.41801850393701,12.718350000000001
Fasteners,949.5181999999998,217,4.375659907834101,2.8416
Supplies,-1189.0994999999984,190,-6.258418421052632,3.9593
Machines,3384.7569,115,29.432668695652172,38.9974
Copiers,55617.82490000001,68,817.9091897058823,332.9942
